date,zscore,exposure,ret,equity
2024-05-07,2.246560395028687,-0.6830157031912554,-0.0033008759556490113,100914.63772479967
2024-05-08,1.9566255356672322,-0.6908895439607129,0.00042126707541614627,100957.14973910069
2024-05-09,1.9738662408433365,-0.7275942290939001,-0.0018090721773319127,100774.51096840492
2024-05-10,2.078131023909237,-0.7616043249774669,-0.0025865625819501987,100513.85138911972
2024-05-13,1.5406395652839204,-0.7288049412154853,0.0033091401399558745,100846.46580937302
2024-05-14,1.5058934330485254,-0.7333272632128569,-0.0006396564751262397,100781.95871452447
2024-05-15,1.7359639035626837,-0.7288924240828445,-0.0030778573353546254,100471.76622362358
2024-05-16,1.2869368647672086,-0.7068222681947015,0.0030102785226040797,100774.21422361463
2024-05-17,1.107041497306206,-0.7131881645445176,0.000968394020322805,100871.80337007152
2024-05-20,0.781716524391512,-0.7046675818514815,0.002264964303581865,101100.27440394265
2024-05-21,0.1795694231840478,0.0,0.0037586792420798236,101480.27790671332
2024-05-22,0.39769516175110614,0.0,0.0,101480.27790671332
2024-05-23,0.7734383876592995,0.0,0.0,101480.27790671332
2024-05-24,0.7928933787419219,0.0,0.0,101480.27790671332
2024-05-28,0.7117467652805988,0.0,0.0,101480.27790671332
2024-05-29,0.4704433487166516,0.0,0.0,101480.27790671332
2024-05-30,1.195660133232979,0.0,0.0,101480.27790671332
2024-05-31,0.6499975843746906,0.0,0.0,101480.27790671332
2024-06-03,0.6271290460913345,0.0,0.0,101480.27790671332
2024-06-04,0.9452840804034518,0.0,0.0,101480.27790671332
2024-06-05,1.2393452637622933,0.0,0.0,101480.27790671332
2024-06-06,1.642284356064605,0.0,0.0,101480.27790671332
2024-06-07,1.8761929430920856,0.0,0.0,101480.27790671332
2024-06-10,0.644915580417235,0.0,0.0,101480.27790671332
2024-06-11,0.5019116462461466,0.0,0.0,101480.27790671332
2024-06-12,-0.047304062126014824,0.0,0.0,101480.27790671332
2024-06-13,-0.2427760866574794,0.0,0.0,101480.27790671332
2024-06-14,-0.47115070631514216,0.0,0.0,101480.27790671332
2024-06-17,-1.3543747237959893,0.0,0.0,101480.27790671332
2024-06-18,-0.5852705677993976,0.0,0.0,101480.27790671332
2024-06-20,0.5276630453691358,0.0,0.0,101480.27790671332
2024-06-21,-1.1852415840215087,0.0,0.0,101480.27790671332
2024-06-24,-1.1652382440397797,0.0,0.0,101480.27790671332
2024-06-25,-2.0988987597096544,0.6737797748259476,0.0,101480.27790671332
2024-06-26,-1.0047829607336025,0.6666256524868426,0.003585109433547884,101844.09580835573
2024-06-27,-1.7133296684127692,0.6563231570959738,-0.003114779151377437,101526.87394204098
2024-06-28,-2.80138462339958,0.6312510203071132,-0.006311203320689633,100886.11719807873
2024-07-01,-1.455995515113872,0.6038773629471781,0.005387150351836307,101429.60587983778
2024-07-02,-0.9417624604366851,0.5992581451522463,0.002085596539807433,101641.1471148948
2024-07-03,-1.3634266721450994,0.5993312285794985,-0.002343812766301834,101402.91929670535
2024-07-05,-1.094834532514213,0.6160360509108662,0.0012164437169259227,101526.27024076178
2024-07-08,-1.8179844491349526,0.604380891463871,-0.004126184728248235,101107.35409497833
2024-07-09,-1.811987246396321,0.6158047010616278,-0.0009188711783067795,101014.44946138561
2024-07-10,-0.4289097631747629,0.0,0.006789309410666243,101700.26781372706
2024-07-11,-1.0847432290238266,0.0,0.0,101700.26781372706
2024-07-12,-0.6541127169204766,0.0,0.0,101700.26781372706
2024-07-15,-0.4222229596742575,0.0,0.0,101700.26781372706
2024-07-16,-0.022697445404061923,0.0,0.0,101700.26781372706
2024-07-17,-0.2873946069465534,0.0,0.0,101700.26781372706
2024-07-18,-1.0083668104445958,0.0,0.0,101700.26781372706
2024-07-19,-1.2476543374961935,0.0,0.0,101700.26781372706
2024-07-22,-1.2503748175689098,0.0,0.0,101700.26781372706
2024-07-23,-1.041493388714463,0.0,0.0,101700.26781372706
2024-07-24,-2.917970326864861,0.5326525899907512,0.0,101700.26781372706
2024-07-25,-2.2197164064362647,0.5268309096498355,0.002340070662537345,101938.25362681015
2024-07-26,-1.7243258663546328,0.5241644142129201,0.0018677174122047552,102128.64547807869
2024-07-29,-1.4702904926388398,0.5230892263062233,0.000783848683554788,102208.69888238993
2024-07-30,-1.977184232369686,0.5167074825428456,-0.0038187322744791894,101818.39122523522
2024-07-31,-3.267403601862408,0.4489095982313795,-0.012769939959484871,100518.17648251762
2024-08-01,-2.5615790596837673,0.4506549356229554,0.0018779075787179506,100706.94032793304
2024-08-02,-2.1309834477651886,0.4564750633364801,0.0016487222737661435,100872.97810357454
2024-08-05,-1.7156935864330753,0.46241194547584097,0.0019968296699112062,101074.40425914405
2024-08-06,-1.911901138538355,0.459917505884499,-0.0033824111790717545,100732.52906425988
2024-08-07,-2.1901148034723383,0.45655547803090696,-0.00511479218947702,100217.30311137576
2024-08-08,-1.9567900885156255,0.4653699626575101,0.00018964130591430568,100236.30845161302
2024-08-09,-1.8124635185811098,0.46738667962381764,-0.00043133984544214596,100193.07253781779
2024-08-12,-1.5429682783185799,0.47905437781162336,0.0014218673314412157,100335.53379449605
2024-08-13,-1.7004495382734799,0.4948744992289374,-0.003532251110938951,99981.12349378379
2024-08-14,-1.484632404120994,0.49755824280334127,0.001088848438050201,100089.9877839345
2024-08-15,-1.2447670225973575,0.4947585231069767,0.0017158249331093729,100261.72468052879
2024-08-16,-1.0897737406561503,0.49538769234425023,0.0009177225983468688,100353.73713101733
2024-08-19,-0.9965325945602274,0.5009042109178307,0.0002780090797533882,100381.63638112694
2024-08-20,-0.8755723020159554,0.4997749982986639,0.0007125675287221392,100453.1650756921
2024-08-21,-0.6954766476523692,0.5363234794461895,0.001444969503564049,100598.31683576296
2024-08-22,-0.760392156869219,0.5426279356618016,-0.0013614056968832135,100461.3617141259
2024-08-23,-0.5690081688174953,0.544853930868906,0.0015613057940932348,100618.21262025266
2024-08-26,-0.5995721931756952,0.5474063270458637,-0.000869113760111859,100530.76394714652
2024-08-27,-0.7487948512469259,0.5532334300914928,-0.001954939562053194,100334.23237950284
